,dates,deaths in NY
0,2020-03-01,0
1,2020-03-02,0
2,2020-03-03,0
3,2020-03-04,0
4,2020-03-05,0
5,2020-03-06,0
6,2020-03-07,0
7,2020-03-08,0
8,2020-03-09,0
9,2020-03-10,0
10,2020-03-11,0
11,2020-03-12,0
12,2020-03-13,0
13,2020-03-14,2
14,2020-03-15,3
15,2020-03-16,10
16,2020-03-17,13
17,2020-03-18,16
18,2020-03-19,34
19,2020-03-20,42
20,2020-03-21,60
21,2020-03-22,117
22,2020-03-23,158
23,2020-03-24,210
24,2020-03-25,285
25,2020-03-26,385
26,2020-03-27,527
27,2020-03-28,728
28,2020-03-29,965
29,2020-03-30,1218
30,2020-03-31,1550
31,2020-04-01,1941
32,2020-04-02,2373
33,2020-04-03,2935
34,2020-04-04,3565
35,2020-04-05,4159
36,2020-04-06,4698
37,2020-04-07,5489
38,2020-04-08,6268
39,2020-04-09,7067
40,2020-04-10,7867
41,2020-04-11,8627
42,2020-04-12,9385
43,2020-04-13,10058
44,2020-04-14,10842
45,2020-04-15,11617
46,2020-04-16,14832
47,2020-04-17,17131
48,2020-04-18,17671
49,2020-04-19,18298
50,2020-04-20,18611
51,2020-04-21,19104
52,2020-04-22,19413
53,2020-04-23,20973
54,2020-04-24,21411
55,2020-04-25,22009
56,2020-04-26,22269
57,2020-04-27,22668
58,2020-04-28,22912
59,2020-04-29,23477
60,2020-04-30,23587
61,2020-05-01,24039
62,2020-05-02,24198
63,2020-05-03,24708
64,2020-05-04,24999
65,2020-05-05,25124
66,2020-05-06,25623
67,2020-05-07,26144
68,2020-05-08,26243
69,2020-05-09,26612
70,2020-05-10,26641
71,2020-05-11,26988
72,2020-05-12,27284
73,2020-05-13,27477
74,2020-05-14,27641
75,2020-05-15,27878
76,2020-05-16,28049
77,2020-05-17,28232
78,2020-05-18,28339
79,2020-05-19,28558
80,2020-05-20,28636
81,2020-05-21,28743
82,2020-05-22,28853
83,2020-05-23,29031
84,2020-05-24,29141
85,2020-05-25,29229
86,2020-05-26,29302
87,2020-05-27,29484
88,2020-05-28,29529
89,2020-05-29,29646
90,2020-05-30,29710
